time,type,x,y,velocity,angle,pos,
3.49,robot,0.4025251804458024,2.2617143744358255,0,-3.142668005903926,0,
3.495,path,0.40209438987580315,2.262994631633669,-4.0,-3.1511501541217237,11.999999999999831,
3.495,robot,0.42251603155626866,2.261555342635997,0,-3.149547714845857,0,
3.5,path,0.42209058974266744,2.262606829105323,-4.0,-3.1580809577057227,12.01999999999983,
3.5,robot,0.44250518992485643,2.261254968050834,0,-3.1566183977354547,0,
3.505,path,0.44208356931650705,2.2620785519787505,-4.0,-3.1652020470773783,12.03999999999983,
3.505,robot,0.46249159486015234,2.260809367477986,0,-3.163884144429076,0,
3.5100000000000002,path,0.46207221274875243,2.261405981560225,-4.0,-3.1725175566570734,12.05999999999983,
3.5100000000000002,robot,0.48247409962810395,2.260214583553182,0,-3.1713491016238775,0,
3.515,path,0.4820553175629616,2.260585226082081,-4.0,-3.180031668592619,12.07999999999983,
3.515,robot,0.5024514667291294,2.2594665851088367,0,-3.1790174647923592,0,
3.52,path,0.5020315902795387,2.2596123212459034,-4.0,-3.187748603968375,12.09999999999983,
3.52,robot,0.5224223630050037,2.2585612678480578,0,-3.1868934691904034,0,
3.525,path,0.5219996413001029,2.2584832311164105,-4.0,-3.195672612553654,12.119999999999829,
3.525,robot,0.5423853545715619,2.257494455374563,0,-3.1949813793638007,0,
3.5300000000000002,path,0.5419579801304879,2.2571938493599912,-4.0,-3.2038079613853974,12.139999999999828,
3.5300000000000002,robot,0.5623389015950468,2.256261900612686,0,-3.2032854774533033,0,
3.535,path,0.5619050099941623,2.2557400009122928,-4.0,-3.2121589217075295,12.159999999999828,
3.535,robot,0.5822813529156411,2.2548592876623648,0,-3.211810049808115,0,
3.54,path,0.5818390226583521,2.2541174440730716,-4.0,-3.220729754473509,12.179999999999827,
3.54,robot,0.6022109405395716,2.25328223412924,0,-3.2205593721171617,0,
3.545,path,0.6017581929482265,2.252321873102086,-4.0,-3.2295246940862414,12.199999999999827,
3.545,robot,0.6221257740151925,2.251526293977141,0,-3.2295376927228734,0,
3.5500000000000003,path,0.6216605734215213,2.2503489213260357,-4.0,-3.2385479304575986,12.219999999999827,
3.5500000000000003,robot,0.642023834720722,2.24958696094779,0,-3.238749214199533,0,
